sku,costo_unitario,fuente,fecha_set
756324,4856.0,odoo_standard_price,2026-05-19
77915,3532.19708875,odoo_standard_price,2026-05-19
172462A,4367.39902663,odoo_standard_price,2026-05-19
FA183-1,9071.0,odoo_standard_price,2026-05-19
893529,693.74028563,odoo_standard_price,2026-05-19
167884,20319.0,odoo_standard_price,2026-05-19
461722180N,2085.0,odoo_standard_price,2026-05-19
74172,2529.97137291,odoo_standard_price,2026-05-19
73131,10383.37314635,odoo_standard_price,2026-05-19
74173,2528.41695689,odoo_standard_price,2026-05-19
181028A,4308.84931507,odoo_standard_price,2026-05-19
172496,5590.46833787,odoo_standard_price,2026-05-19
189702,3695.0,odoo_standard_price,2026-05-19
154748003,5549.0,odoo_standard_price,2026-05-19
150170,4860.0,odoo_standard_price,2026-05-19
140101,8625.0,odoo_standard_price,2026-05-19
188452,4695.13072997,odoo_standard_price,2026-05-19
111539A,4321.186059310001,odoo_standard_price,2026-05-19
146295J,14256.46927475,odoo_standard_price,2026-05-19
125364,5804.88160465,odoo_standard_price,2026-05-19
123174,24806.0,odoo_standard_price,2026-05-19
72290,13164.0,odoo_standard_price,2026-05-19
189703,2780.0,odoo_standard_price,2026-05-19
194340,30997.24146965,odoo_standard_price,2026-05-19
893531,529.25497432,odoo_standard_price,2026-05-19
CNS250,15324.44,odoo_standard_price,2026-05-19
158120M,4008.0,odoo_standard_price,2026-05-19
CNS630,14279.0,odoo_standard_price,2026-05-19
156173D,3105.02702703,odoo_standard_price,2026-05-19
137391,18465.0,odoo_standard_price,2026-05-19
172462R,4131.0,odoo_standard_price,2026-05-19
181024L,8062.0,odoo_standard_price,2026-05-19
75391,3332.83154238,odoo_standard_price,2026-05-19
160519,4297.08733045,odoo_standard_price,2026-05-19
172462Q,4131.0,odoo_standard_price,2026-05-19
151170,13582.22134387,odoo_standard_price,2026-05-19
1100136,2196.0,odoo_standard_price,2026-05-19
185062,62189.66666667,odoo_standard_price,2026-05-19
47991,67840.75,odoo_standard_price,2026-05-19
189646,52693.0,odoo_standard_price,2026-05-19
134515,5971.88959941,odoo_standard_price,2026-05-19
PACKCNS23,51660.0,odoo_standard_price,2026-05-19
157266,8063.83767661,odoo_standard_price,2026-05-19
172462N,4522.53,odoo_standard_price,2026-05-19
201982,18599.0,odoo_standard_price,2026-05-19
74048,10525.04658092,odoo_standard_price,2026-05-19
LTW25-MKF03L-BK,8553.0,odoo_standard_price,2026-05-19
157210,83627.0,odoo_standard_price,2026-05-19
Pack476,205217.0,odoo_standard_price,2026-05-19
202017,43393.0,odoo_standard_price,2026-05-19
120040,2153.78521152,odoo_standard_price,2026-05-19
IMA-UTURN6,3407.0,odoo_standard_price,2026-05-19
126505C,2466.0,odoo_standard_price,2026-05-19
126505CH,2466.0,odoo_standard_price,2026-05-19
CNS11,10080.0,odoo_standard_price,2026-05-19
RC-CBX33,15121.0,odoo_standard_price,2026-05-19
182433,43393.0,odoo_standard_price,2026-05-19
71874,3692.37444488,odoo_standard_price,2026-05-19
PACKCNS22,42000.0,odoo_standard_price,2026-05-19
